game_key,app_id,title,genre,genre_count_observed,genre_weight_observed,source_rank,attributed_revenue_base,inclusive_revenue_base,commercial_success_flag,source_url,observed_price_usd,owners_range_observed,score_percent_observed,owners_midpoint
26e3100697cf,,Braid,Indie,2,0.5,26,6745500,13491000,1,https://steamspy.com/genre/Indie,14.99,"1,000,000 .. 2,000,000",0.9,1500000
07e675e3188c,,Spelunky,Indie,1,1,27,3366000.0000000005,3366000.0000000005,1,https://steamspy.com/genre/Indie,3.74,"1,000,000 .. 2,000,000",0.9,1500000
82d7cb86bb3b,,Into the Breach,Indie,4,0.25,28,3372750,13491000,1,https://steamspy.com/genre/Indie,4.49,"1,000,000 .. 2,000,000",0.9,1500000
e8500ffb2582,,ANIMAL WELL,Indie,1,1,29,3672899.999999999,3672899.999999999,1,https://steamspy.com/genre/Indie,17.49,"200,000 .. 500,000",0.9,350000
13a4a14f384a,,Slay the Princess - The Pristine Cut,Indie,3,0.3333333333333333,30,2698499.9999999995,8095499.999999999,1,https://steamspy.com/genre/Indie,8.99,"500,000 .. 1,000,000",0.9,750000
13e1b29505c4,,Brothers - A Tale of Two Sons,Indie,1,1,31,13491000,13491000,1,https://steamspy.com/genre/Indie,14.99,"1,000,000 .. 2,000,000",0.9,1500000
1d16e1ba9c28,,Balatro,Indie,2,0.5,32,15739500,31479000,1,https://steamspy.com/genre/Indie,11.99,"2,000,000 .. 5,000,000",0.9,3500000
dff6ee721b78,,Factorio,Indie,3,0.3333333333333333,33,52500000,157500000,1,https://steamspy.com/genre/Indie,35,"5,000,000 .. 10,000,000",0.9,7500000
84c9406adee8,,Disco Elysium - The Final Cut,RPG,1,1,1,239940,239940,0,https://steamspy.com/genre/RPG,39.99,"0 .. 20,000",0.97,10000
b29cd759bf7b,,BioShock,RPG,2,0.5,2,5239500,10479000,1,https://steamspy.com/genre/RPG,4.99,"2,000,000 .. 5,000,000",0.96,3500000
5d016f406ae9,,Baldur's Gate 3,RPG,3,0.3333333333333333,3,314930000,944790000,1,https://steamspy.com/genre/RPG,44.99,"20,000,000 .. 50,000,000",0.96,35000000
2e901874a837,,Persona 5 Royal,RPG,1,1,4,359940,359940,0,https://steamspy.com/genre/RPG,59.99,"0 .. 20,000",0.95,10000
81a2ea536ac8,,Mass Effect 2 (2010) Edition,RPG,1,1,5,179940,179940,0,https://steamspy.com/genre/RPG,29.99,"0 .. 20,000",0.94,10000
4171cb5a7936,,Mass Effect 2 (2010 Edition),RPG,1,1,6,0,,,https://steamspy.com/genre/RPG,,"1,000,000 .. 2,000,000",0.94,1500000
eb4f6d95d13b,,Divinity: Original Sin - Enhanced Edition,RPG,4,0.25,7,8997750,35991000,1,https://steamspy.com/genre/RPG,39.99,"1,000,000 .. 2,000,000",0.94,1500000
4a1e938ad4dd,,The Elder Scrolls IV: Oblivion GOTY Edition,RPG,1,1,8,31479000,31479000,1,https://steamspy.com/genre/RPG,14.99,"2,000,000 .. 5,000,000",0.94,3500000
4a2be44aeabe,,Hades II,RPG,3,0.3333333333333333,9,20993000,62979000,1,https://steamspy.com/genre/RPG,29.99,"2,000,000 .. 5,000,000",0.94,3500000
ab219e16ab35,,The Elder Scrolls V: Skyrim,RPG,1,1,10,89954999.99999999,89954999.99999999,1,https://steamspy.com/genre/RPG,19.99,"5,000,000 .. 10,000,000",0.94,7500000
